                                                         --INPUT DATA--

     TITLE--  * Airfoil Test                                *                                 

     ITER =  80   IPLOT =  0   IPUNCH =  1   IOP =  0   ICAMTK =  1   IBAD =  1   ITRN =  1   INTR =  2

     NU =  26

     XU=   0.346000E-03   0.553800E-02   0.225000E-01   0.425760E-01   0.723440E-01   0.104191E+00   0.156112E+00   0.206652E+00
           0.255112E+00   0.308072E+00   0.353412E+00   0.394602E+00   0.451022E+00   0.506402E+00   0.559362E+00   0.602632E+00
           0.653172E+00   0.700591E+00   0.749051E+00   0.808241E+00   0.860511E+00   0.916230E+00   0.942540E+00   0.967810E+00
           0.985120E+00   0.999650E+00

     YU=   0.348000E-03   0.833900E-02   0.170340E-01   0.239940E-01   0.337390E-01   0.427910E-01   0.542890E-01   0.623130E-01
           0.679050E-01   0.710690E-01   0.717960E-01   0.707840E-01   0.680470E-01   0.632250E-01   0.580530E-01   0.532220E-01
           0.470070E-01   0.407900E-01   0.342270E-01   0.266290E-01   0.200680E-01   0.135100E-01   0.104030E-01   0.764300E-02
           0.522500E-02   0.245700E-02

     WU=   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01

     NL =  26

     XL=   0.346000E-03   0.519200E-02   0.228440E-01   0.418820E-01   0.650730E-01   0.996870E-01   0.150919E+00   0.202149E+00
           0.258908E+00   0.302178E+00   0.356178E+00   0.408788E+00   0.455518E+00   0.503978E+00   0.559358E+00   0.605749E+00
           0.654209E+00   0.704049E+00   0.753549E+00   0.803389E+00   0.858769E+00   0.915890E+00   0.942540E+00   0.969190E+00
           0.984080E+00   0.100070E+01

     YL=   0.348000E-03  -0.937300E-02  -0.170000E-01  -0.225440E-01  -0.277360E-01  -0.343090E-01  -0.401760E-01  -0.446550E-01
          -0.487820E-01  -0.504860E-01  -0.507950E-01  -0.507570E-01  -0.507230E-01  -0.496460E-01  -0.471760E-01  -0.450580E-01
          -0.415500E-01  -0.376940E-01  -0.324490E-01  -0.275520E-01  -0.209130E-01  -0.139260E-01  -0.107810E-01  -0.694200E-02
          -0.484700E-02  -0.309900E-02

     WL=   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01

   NINT =  40

   XINT=   0.000000E+00   0.980000E-03   0.548000E-02   0.133800E-01   0.243300E-01   0.381100E-01   0.546800E-01   0.739500E-01
           0.957600E-01   0.119990E+00   0.146480E+00   0.175040E+00   0.205490E+00   0.237600E+00   0.271200E+00   0.306090E+00
           0.342040E+00   0.378870E+00   0.416380E+00   0.454350E+00   0.492650E+00   0.530990E+00   0.569370E+00   0.607780E+00
           0.645940E+00   0.683590E+00   0.720430E+00   0.756160E+00   0.790480E+00   0.823090E+00   0.853700E+00   0.882020E+00
           0.907750E+00   0.930640E+00   0.950440E+00   0.966980E+00   0.980370E+00   0.990700E+00   0.997540E+00   0.100000E+01

   CNEW =     1.000
1                                --INPUT COORDINATES--

     TITLE--  * Airfoil Test                                *                                 

         I           XU             YU             XL             YL
        17       0.301758      -0.050614         -69.64                                         1.00
        18       0.258503      -0.048940         -63.81                                         1.00
        19       0.201761      -0.044852         -55.67                                         1.00
        20       0.150546      -0.040409         -47.57                                         1.00
        21       0.099329      -0.034578         -38.25                                         1.00
        22       0.064723      -0.028031         -30.67                                         1.00
        23       0.041537      -0.022856         -24.46                                         1.00
        24       0.022502      -0.017327         -17.94                                         1.00
        25       0.004851      -0.009714          -8.30                                         1.00
        26       0.000000       0.000000          -0.00                                         1.00
        27       0.005185       0.007992           8.58                                         1.00
        28       0.022135       0.016695          17.79                                         1.00
        29       0.042199       0.023666          24.66                                         1.00
        30       0.071950       0.033427          32.38                                         1.00
        31       0.103780       0.042497          39.13                                         1.00
        32       0.155674       0.054026          48.42                                         1.00
        33       0.206191       0.062081          56.33                                         1.00
        34       0.254630       0.067703          63.27                                         1.00
        35       0.307569       0.070902          70.40                                         1.00
        36       0.352892       0.071659          76.26                                         1.00
        37       0.394068       0.070675          81.46                                         1.00
        38       0.450470       0.067976          88.48                                         1.00
        39       0.505834       0.063193          95.34                                         1.00
        40       0.558778       0.058058         101.97                                         1.00
        41       0.602036       0.053258         107.51                                         1.00
        42       0.652562       0.047079         114.19                                         1.00
        43       0.699969       0.040896         120.74                                         1.00
        44       0.748416       0.034368         127.85                                         1.00
        45       0.807590       0.026812         137.30                                         1.00
        46       0.859845       0.020288         146.61                                         1.00
        47       0.915549       0.013770         158.00                                         1.00
        48       0.941852       0.010682         164.10                                         1.00
        49       0.967115       0.007940         170.53                                         1.00
        50       0.984420       0.005534         175.34                                         1.00
        51       0.998947       0.002777         179.67                                         1.00

     CHORD =       1.000356
1 TITLE--  * Airfoil Test                                *                                 

                              --SUM OF SQUARES GENERATED DURING SMOOTHING PROCESS--

     1   0.2702169   0.0052862   0.0002815   0.0001451   0.0001179   0.0000944   0.0000740   0.0000586   0.0000468   0.0000377

     2   0.0000307   0.0000251   0.0000207   0.0000172   0.0000144   0.0000121   0.0000102   0.0000087   0.0000075   0.0000064

     3   0.0000056   0.0000049   0.0000043   0.0000038   0.0000034   0.0000030   0.0000027   0.0000024   0.0000022   0.0000020

     4   0.0000018   0.0000016   0.0000015   0.0000014   0.0000013   0.0000012   0.0000011   0.0000010   0.0000010

   SMOOTHING PROCESS CONVERGED AFTER  39 ITERATIONS

   SUM OF SQUARES FROM LEAST SQUARES CUBIC SPLINE SMOOTHING =  0.5100E-06

   ITERATION PROCEDURE TO COMPUTE INCREMENTAL ADJUSTMENT TO SECOND DERIVATIVE CONVERGED IN   2 ITERATIONS AND DELTA =  0.2620E-03
1 TITLE--  * Airfoil Test                                *                                 

                                                --SMOOTHING OUTPUT SUMMARY--

    I     THETA     X/C       Y/C       YT/C     YSMO/C    DELTA       YPS      YPPS        DY/DX       D(DY/DX)/DX      CURVATURE
    1   -180.00  1.000000 -0.002777 -0.002765 -0.002765 -0.000012 -0.021290 -0.044987   0.115437E+00  -0.748501E+00   0.733785E+00
    2   -175.04  0.983387 -0.004535 -0.004749 -0.004768  0.000233 -0.024911 -0.038655   0.124836E+00  -0.406315E+00   0.396999E+00
    3   -170.90  0.968504 -0.006639 -0.006630 -0.006663  0.000024 -0.027524 -0.033728   0.129297E+00  -0.204998E+00   0.199962E+00
    4   -164.10  0.941866 -0.010495 -0.010098 -0.010152 -0.000343 -0.031104 -0.026591   0.131709E+00   0.283999E-02   0.276766E-02
    5   -157.93  0.915227 -0.013657 -0.013569 -0.013647 -0.000010 -0.033708 -0.021758   0.130317E+00   0.925663E-01   0.902573E-01
    6   -146.29  0.858131 -0.020679 -0.020756 -0.020882  0.000203 -0.037220 -0.012813   0.122465E+00   0.165154E+00   0.161507E+00
    7   -136.49  0.802776 -0.027353 -0.027233 -0.027387  0.000034 -0.038552 -0.002762   0.112267E+00   0.195740E+00   0.192097E+00
    8   -128.54  0.752957 -0.032282 -0.032565 -0.032724  0.000443 -0.038143  0.008656   0.101786E+00   0.221013E+00   0.217623E+00
    9   -121.24  0.703478 -0.037558 -0.037324 -0.037475 -0.000083 -0.036132  0.022918   0.899749E-01   0.253466E+00   0.250419E+00
   10   -114.33  0.653658 -0.041446 -0.041494 -0.041625  0.000179 -0.032349  0.039812   0.763011E-01   0.293637E+00   0.291092E+00
   11   -107.92  0.605218 -0.044985 -0.044854 -0.044964 -0.000021 -0.027043  0.055007   0.613185E-01   0.324931E+00   0.323107E+00
   12   -101.98  0.558845 -0.047133 -0.047358 -0.047458  0.000325 -0.020938  0.062771   0.462362E-01   0.327149E+00   0.326103E+00
   13    -95.05  0.503486 -0.049639 -0.049429 -0.049538 -0.000101 -0.013475  0.060557   0.292313E-01   0.290532E+00   0.290160E+00
   14    -89.04  0.455044 -0.050748 -0.050507 -0.050629 -0.000119 -0.007472  0.054024   0.161476E-01   0.251745E+00   0.251647E+00
   15    -83.24  0.408331 -0.050814 -0.050991 -0.051112  0.000298 -0.002092  0.052272   0.455301E-02   0.246329E+00   0.246321E+00
   16    -76.63  0.355739 -0.050887 -0.050891 -0.050993  0.000106  0.004269  0.057899  -0.948202E-02   0.290639E+00   0.290600E+00
   17    -69.64  0.301758 -0.050614 -0.049951 -0.050018 -0.000596  0.011912  0.067435  -0.274565E-01   0.381736E+00   0.381305E+00
   18    -63.81  0.258503 -0.048940 -0.048415 -0.048452 -0.000488  0.018885  0.069561  -0.454787E-01   0.457281E+00   0.455866E+00
   19    -55.67  0.201761 -0.044852 -0.045057 -0.045098  0.000246  0.028115  0.060360  -0.735709E-01   0.544832E+00   0.540438E+00
   20    -47.57  0.150546 -0.040409 -0.040513 -0.040571  0.000162  0.035609  0.045726  -0.104250E+00   0.670895E+00   0.660104E+00
   21    -38.25  0.099329 -0.034578 -0.034166 -0.034233 -0.000345  0.041897  0.031551  -0.146252E+00   0.103215E+01   0.999899E+00
   22    -30.67  0.064723 -0.028031 -0.028384 -0.028429  0.000398  0.045766  0.026944  -0.193890E+00   0.186883E+01   0.176819E+01
   23    -24.46  0.041537 -0.022856 -0.023305 -0.023312  0.000456  0.048722  0.027636  -0.254262E+00   0.366953E+01   0.334042E+01
   24    -17.94  0.022502 -0.017327 -0.017610 -0.017597  0.000270  0.051638  0.023603  -0.362246E+00   0.901035E+01   0.748893E+01
   25     -8.30  0.004851 -0.009714 -0.008641 -0.008637 -0.001078  0.054553  0.011057  -0.816302E+00   0.861739E+02   0.400614E+02
   26     -0.00  0.000000  0.000000 -0.000637 -0.000637  0.000637  0.055706  0.004854   0.100000E+99   0.100000E+99   0.149133E+03
   27      8.58  0.005185  0.007992  0.007752  0.007790  0.000202  0.056944  0.011676   0.824330E+00  -0.766001E+02   0.351926E+02
   28     17.79  0.022135  0.016695  0.017049  0.017187 -0.000492  0.060593  0.033735   0.428488E+00  -0.775485E+01   0.602233E+01
   29     24.66  0.042199  0.023666  0.024521  0.024723 -0.001057  0.065462  0.047528   0.339054E+00  -0.255039E+01   0.216630E+01
   30     32.38  0.071950  0.033427  0.033759  0.033932 -0.000505  0.070907  0.033296   0.286120E+00  -0.127859E+01   0.113625E+01
   31     39.13  0.103780  0.042497  0.042358  0.042421  0.000076  0.072448 -0.007137   0.248081E+00  -0.112798E+01   0.103132E+01
   32     48.42  0.155674  0.054026  0.053900  0.053789  0.000237  0.065855 -0.074126   0.190225E+00  -0.110592E+01   0.104850E+01
   33     56.33  0.206191  0.062081  0.062230  0.062014  0.000067  0.052298 -0.122445   0.135793E+00  -0.106042E+01   0.103175E+01
   34     63.27  0.254630  0.067703  0.067653  0.067381  0.000323  0.035668 -0.152013   0.862958E-01  -0.994959E+00   0.983947E+00
   35     70.40  0.307569  0.070902  0.070912  0.070603  0.000298  0.015777 -0.167519   0.361869E-01  -0.910895E+00   0.909109E+00
   36     76.26  0.352892  0.071659  0.071657  0.071344  0.000315 -0.001270 -0.165814  -0.282439E-02  -0.818974E+00   0.818964E+00
   37     81.46  0.394068  0.070675  0.070866  0.070570  0.000105 -0.015521 -0.148381  -0.339144E-01  -0.697338E+00   0.696137E+00
   38     88.48  0.450470  0.067976  0.067880  0.067654  0.000322 -0.031328 -0.109861  -0.677208E-01  -0.509454E+00   0.505969E+00
   39     95.34  0.505834  0.063193  0.063376  0.063209 -0.000016 -0.042112 -0.070208  -0.913941E-01  -0.349110E+00   0.344781E+00
   40    101.97  0.558778  0.058058  0.058058  0.057926  0.000132 -0.048586 -0.041632  -0.107289E+00  -0.251805E+00   0.247519E+00
   41    107.51  0.602036  0.053258  0.053175  0.053066  0.000192 -0.051737 -0.023593  -0.117058E+00  -0.199279E+00   0.195252E+00
   42    114.19  0.652562  0.047079  0.046996  0.046923  0.000156 -0.053285 -0.002974  -0.125554E+00  -0.134461E+00   0.131344E+00
   43    120.74  0.699969  0.040896  0.040875  0.040846  0.000050 -0.052521  0.016330  -0.130225E+00  -0.579488E-01   0.565054E-01
   44    127.85  0.748416  0.034368  0.034477  0.034499 -0.000131 -0.049467  0.032908  -0.131078E+00   0.300322E-01   0.292745E-01
   45    137.30  0.807590  0.026812  0.026763  0.026846 -0.000034 -0.043043  0.045018  -0.126543E+00   0.136841E+00   0.133618E+00
   46    146.61  0.859845  0.020288  0.020315  0.020440 -0.000151 -0.035771  0.044427  -0.118203E+00   0.189608E+00   0.185702E+00
   47    158.00  0.915549  0.013770  0.013948  0.014076 -0.000306 -0.028929  0.024429  -0.111955E+00   0.643454E-02   0.631543E-02
   48    164.10  0.941852  0.010682  0.010993  0.011097 -0.000415 -0.027436  0.003629  -0.116170E+00  -0.357955E+00   0.350829E+00
   49    170.53  0.967115  0.007940  0.007911  0.007973 -0.000034 -0.028788 -0.027709  -0.134457E+00  -0.116122E+01   0.113043E+01
   50    175.34  0.984420  0.005534  0.005397  0.005426  0.000108 -0.032345 -0.057097  -0.162852E+00  -0.218797E+01   0.210373E+01
   51    179.67  0.998947  0.002777  0.002786  0.002786 -0.000009 -0.037811 -0.087355  -0.203944E+00  -0.354929E+01   0.333883E+01

   LEADING-EDGE RADIUS/C=  0.006705

   DY/DX=0. AT X/C=  0.390328     Y/C= -0.051153     THETA=   -80.991

   DY/DX=0. AT X/C=  0.349459     Y/C=  0.071348     THETA=    75.826
1 TITLE--  * Airfoil Test                                *                                 

            CHECK OF SMOOTHED COORDINATES   DF=  0.000100

         I     (YSMO/C-CHECK VALUE)       (YPPS-CHECK VALUE)

         1           -0.000000                -0.001175
         2            0.000001                -0.000389
         3           -0.000000                 0.000158
         4           -0.000002                 0.000573
         5           -0.000003                 0.000460
         6           -0.000001                -0.000215
         7            0.000002                -0.000575
         8            0.000001                -0.000625
         9           -0.000000                -0.000430
        10           -0.000001                 0.000186
        11           -0.000002                 0.001127
        12           -0.000002                 0.001670
        13           -0.000000                 0.000564
        14            0.000001                -0.001057
        15            0.000002                -0.001382
        16            0.000002                -0.001030
        17           -0.000000                 0.000971
        18           -0.000004                 0.002165
        19           -0.000005                 0.001303
        20            0.000001                -0.000349
        21            0.000004                -0.001458
        22           -0.000001                -0.000630
        23           -0.000001                 0.001175
        24           -0.000007                 0.002021
        25           -0.000005                 0.000073
        26            0.000004                -0.002017
        27            0.000003                -0.002306
        28           -0.000008                 0.001562
        29           -0.000013                 0.005421
        30           -0.000011                 0.005483
        31           -0.000004                 0.001890
        32            0.000005                -0.002149
        33            0.000005                -0.002304
        34            0.000002                -0.001649
        35            0.000002                -0.001799
        36            0.000003                -0.002750
        37            0.000004                -0.002650
        38            0.000002                -0.000373
        39           -0.000003                 0.002008
        40           -0.000001                 0.000857
        41            0.000001                -0.000231
        42            0.000001                -0.000400
        43            0.000002                 0.000045
        44            0.000002                 0.000433
        45            0.000001                 0.000980
        46           -0.000001                 0.001566
        47           -0.000003                 0.001889
        48           -0.000003                 0.001495
        49           -0.000001                 0.000685
        50            0.000002                -0.000448
        51           -0.000000                -0.001221

     SUM OF SQUARES=  0.000000                 0.000149
1          THE FOLLOWING DATA HAVE BEEN PUNCHED     IPUNCH=   1

   * Airfoil Test                                *                                 

   IOP =   0

   NU =  26

   DX =  0.000000  0.005187  0.022143  0.042214  0.071976  0.103817  0.155730  0.206264
         0.254721  0.307679  0.353018  0.394209  0.450631  0.506014  0.558977  0.602250
         0.652795  0.700218  0.748682  0.807877  0.860152  0.915875  0.942187  0.967459
         0.984771  0.999302

   DY = -0.000637  0.007793  0.017193  0.024732  0.033944  0.042437  0.053808  0.062036
         0.067405  0.070628  0.071369  0.070595  0.067678  0.063231  0.057947  0.053085
         0.046940  0.040861  0.034511  0.026856  0.020447  0.014081  0.011101  0.007976
         0.005428  0.002787

   NL =  26

   DX =  0.000000  0.004853  0.022510  0.041551  0.064746  0.099364  0.150600  0.201833
         0.258595  0.301866  0.355866  0.408476  0.455206  0.503665  0.559044  0.605433
         0.653891  0.703728  0.753225  0.803061  0.858437  0.915553  0.942201  0.968849
         0.983737  1.000356

   DY = -0.000637 -0.008640 -0.017603 -0.023320 -0.028439 -0.034245 -0.040586 -0.045114
        -0.048469 -0.050035 -0.051011 -0.051130 -0.050647 -0.049556 -0.047475 -0.044980
        -0.041640 -0.037488 -0.032736 -0.027397 -0.020890 -0.013652 -0.010155 -0.006665
        -0.004770 -0.002766
1 TITLE--  * Airfoil Test                                *                                 

                                --THICKNESS AND CAMBER DISTRIBUTION--

    I     XU/C      YU/C      XL/C      YL/C      X/C       Y/C      T/C/2     SLOPE          ERROR
    1  0.998947  0.002786  0.998703 -0.002915  0.998825 -0.000064  0.002853   -2.4501       0.000210
    2  0.984420  0.005426  0.984230 -0.004663  0.984325  0.000382  0.005046   -1.0786       0.000068
    3  0.967115  0.007973  0.967079 -0.006848  0.967097  0.000563  0.007410   -0.1382       0.000030
    4  0.941852  0.011097  0.942014 -0.010132  0.941933  0.000482  0.010615    0.4380       0.000014
    5  0.915549  0.014076  0.915800 -0.013572  0.915674  0.000252  0.013825    0.5197       0.000008
    6  0.859845  0.020440  0.859938 -0.020661  0.859892 -0.000111  0.020550    0.1286       0.000006
    7  0.807590  0.026846  0.807235 -0.026884  0.807412 -0.000019  0.026866   -0.3787       0.000003
    8  0.748416  0.034499  0.747394 -0.033287  0.747905  0.000606  0.033897   -0.8632       0.000002
    9  0.699969  0.040846  0.698351 -0.037933  0.699160  0.001457  0.039398   -1.1764       0.000001
   10  0.652562  0.046923  0.650354 -0.041875  0.651458  0.002524  0.044413   -1.4243       0.000003
   11  0.602036  0.053066  0.599220 -0.045326  0.600628  0.003870  0.049216   -1.6395       0.000002
   12  0.558778  0.057926  0.555518 -0.047610  0.557148  0.005158  0.052794   -1.7693       0.000002
   13  0.505834  0.063209  0.502322 -0.049572  0.504078  0.006818  0.056418   -1.7835       0.000001
   14  0.450470  0.067654  0.447307 -0.050747  0.448889  0.008454  0.059222   -1.5302       0.000001
   15  0.394068  0.070570  0.392032 -0.051153  0.393050  0.009709  0.060870   -0.9585       0.000000
   16  0.352892  0.071344  0.352074 -0.050956  0.352483  0.010194  0.061151   -0.3833       0.000000
   17  0.307569  0.070603  0.308243 -0.050188  0.307906  0.010208  0.060396    0.3195       0.000000
   18  0.254630  0.067381  0.256941 -0.048380  0.255786  0.009500  0.057892    1.1437       0.000001
   19  0.206191  0.062014  0.209734 -0.045667  0.207963  0.008174  0.053870    1.8845       0.000001
   20  0.155674  0.053789  0.159977 -0.041525  0.157826  0.006132  0.047706    2.5844       0.000001
   21  0.103780  0.042421  0.107920 -0.035453  0.105850  0.003484  0.038992    3.0438       0.000003
   22  0.071950  0.033932  0.075308 -0.030384  0.073629  0.001774  0.032202    2.9892       0.000004
   23  0.042199  0.024723  0.044322 -0.024006  0.043260  0.000358  0.024388    2.4942       0.000002
   24  0.022135  0.017187  0.023240 -0.017862  0.022688 -0.000338  0.017533    1.8060       0.000008
   25  0.005185  0.007790  0.005485 -0.009138  0.005335 -0.000674  0.008465    1.0158       0.000007
   26  0.000000 -0.000637  0.000002 -0.000785  0.000001 -0.000711  0.000074    0.6335       0.000914
   27  0.000000 -0.000711  0.000000 -0.000711  0.000000 -0.000711  0.000000    0.2255       0.000000
  
1     TITLE--  * Airfoil Test                                *                                 

                          --UPPER SURFACE INTERPOLATED COORDINATES--

         I          XU             YU           DY/DX      D(DY/DX)/DX      CURVATURE
         1       0.000000      -0.000637   0.100000E+99   0.100000E+99   0.149133E+03
         2       0.000980       0.003002   0.186431E+01  -0.941544E+03   0.994384E+02
         3       0.005480       0.008030   0.802659E+00  -0.703686E+02   0.333751E+02
         4       0.013380       0.013050   0.530255E+00  -0.175419E+02   0.120967E+02
         5       0.024330       0.018110   0.412744E+00  -0.663507E+01   0.524043E+01
         6       0.038110       0.023314   0.350498E+00  -0.306956E+01   0.257985E+01
         7       0.054680       0.028778   0.312307E+00  -0.181294E+01   0.157672E+01
